"CSV file for plotted parameters
Date: Fri Aug 18 12:55:26 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
1.43333333,-0.00014230,-2.60150658,-0.17517315,0.15028746,0.15760805,0.03090192,0.26008722,0.01377632,-0.00219902,13.86380807,0.41313134,-0.13461908,0.76116577,-3.91578451,6.98127721
1.45000000,-0.00007858,-2.63740289,-0.17811629,0.39831967,0.16369044,0.02942008,0.25973437,0.00637682,-0.00152126,-0.02117143,-0.44394540,0.04066279,0.71656487,-5.01392252,6.98125692
1.46666667,-0.00002911,-2.67948019,-0.17145683,-0.12240956,0.17480483,0.02928141,-0.54530679,0.01163932,-0.00011719,-48.30246997,0.31576083,0.08424404,0.68780622,-4.65156539,6.98131140
1.48333333,0.00009987,-2.72151000,-0.16747600,-0.64342009,0.17809763,0.02981911,-0.54559922,0.00345190,0.00054002,-0.01754563,-0.49113793,0.03938957,0.63832970,-5.56605422,6.98135079
1.50000000,0.00051959,-2.75775283,-0.16962289,-0.40540080,0.16742263,0.04805595,0.24931080,-0.01100358,0.01919902,47.69460083,-0.86728848,1.11950939,0.58554842,-5.06502172,6.98125909
1.51666667,0.00104391,-2.79353980,-0.17418002,0.08487364,0.14680365,0.07072285,0.51347927,-0.02152573,0.02379700,15.85010764,-0.63135464,0.27589893,0.54850356,-3.53525756,6.98082707
1.53333333,0.00159590,-2.82928647,-0.18141891,0.57468486,0.12358792,0.09372287,0.51298593,-0.02444976,0.02394525,-0.02960239,-0.17563622,0.00901479,0.53101237,-1.96514379,6.98030294
1.55000000,0.00164829,-2.87424715,-0.17212249,-0.12797359,0.18119397,0.12782173,-0.73572715,0.06018564,0.03594323,-74.92278781,5.07790866,0.71999896,0.61104532,-0.92466458,6.97975838
1.56666667,0.00185414,-2.91911814,-0.16546846,-0.83094488,0.22387380,0.16338671,-0.73601811,0.04500458,0.03686826,-0.01744033,-0.91001590,0.05551576,0.51983187,-10.24927504,6.97974181
1.58333333,0.00275305,-2.95518230,-0.16703769,-0.55440260,0.20234463,0.19973404,0.28973596,-0.02208352,0.03833238,61.54525526,-4.02466758,0.08789134,0.37098740,-10.60290967,6.97956173
1.60000000,0.00372550,-2.99107764,-0.17129561,-0.20776607,0.17431960,0.23840123,0.36313000,-0.02907782,0.04068633,4.40363942,-0.41972667,0.14128862,0.33231749,-4.23025048,6.97867451
1.61666667,0.00473630,-3.02695263,-0.17825522,0.13849999,0.14265045,0.27748796,0.36272216,-0.03313916,0.04095147,-0.02447536,-0.24381691,0.01599801,0.30816243,-2.70870249,6.97773341
