"CSV file for plotted parameters
Date: Fri Aug 18 13:05:01 2023
For EdSimObjectWrapper named 'Scene'

"
"Simulation Time (sec)","Motorcycle.Assembly.Body.Outputs.World Transform Position (x)","Motorcycle.Assembly.Body.Outputs.World Transform Position (y)","Motorcycle.Assembly.Body.Outputs.World Transform Position (z)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (x)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (y)","Motorcycle.Assembly.Body.Outputs.World Transform Orientation (z)","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (x) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (y) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Velocity (z) ( rad/s )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (x) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (y) ( rad/s² )","Motorcycle.Assembly.Body.Outputs.Kinematics.Fields.Angular Acceleration (z) ( rad/s² )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )","Motorcycle.Assembly.Fly wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Control Force ( N.m )","Motorcycle.Assembly.Rear wheel [H] Body.Outputs.Controlled Axes.Fields.Angular.Fields.Current State.Fields.Velocity ( rad/s )"
1.18333333,-0.00163372,-2.04450029,-0.17305572,-0.10677799,0.19510402,0.00214986,-0.39689745,0.03425513,0.01258500,-50.18581460,1.35172852,0.79769253,1.12398107,-4.23648368,6.97990630
1.20000000,-0.00151589,-2.08690042,-0.16926471,-0.48551003,0.21724174,0.01508103,-0.39655853,0.02325229,0.01342142,0.02033716,-0.66002826,0.05017381,1.05839278,-7.35715507,6.97991574
1.21666667,-0.00094025,-2.12306303,-0.17220575,-0.20743413,0.20159221,0.04081417,0.29129889,-0.01622492,0.02704614,41.27144645,-2.36853896,0.81748001,0.96455691,-7.27029019,6.98003429
1.23333333,-0.00031371,-2.15920970,-0.17786052,0.07093065,0.18106615,0.06706942,0.29159473,-0.02146209,0.02751989,0.01774897,-0.31427964,0.02846294,0.93375530,-3.44529012,6.98061652
1.25000000,-0.00023566,-2.20293839,-0.17163456,-0.56515209,0.20555043,0.08209881,-0.66605118,0.02570764,0.01562801,-57.45875616,2.83012152,-0.71347332,0.96462348,-2.34862175,6.98123519
1.26666667,-0.00011065,-2.23902348,-0.17269142,-0.30556189,0.21797047,0.08445825,0.27185135,0.01302465,0.00237188,56.27415383,-0.76067268,-0.79539216,0.89622939,-7.32226559,6.98128105
1.28333333,0.00004226,-2.27489273,-0.17638274,0.06006162,0.23014175,0.08815933,0.38289519,0.01275403,0.00384842,6.66262998,-0.01621402,0.08859376,0.84575915,-6.74004186,6.98138057
1.30000000,0.00029914,-2.31073766,-0.18277776,0.42579976,0.23212126,0.09276557,0.38301954,0.00205247,0.00483236,0.00746051,-0.64205156,0.05904532,0.78153725,-7.21374003,6.98139740
1.31666667,0.00038806,-2.35315519,-0.18031924,0.05510933,0.26427252,0.10162889,-0.38814589,0.03362953,0.00942280,-46.26992605,1.89462221,0.27544328,0.76664281,-6.44564691,6.98111592
1.33333333,0.00049436,-2.38939714,-0.17691663,-0.02405727,0.27932640,0.10294251,-0.08289654,0.01576402,0.00137988,18.31496302,-1.07179224,-0.48259156,0.67109908,-10.38765058,6.98101923
1.35000000,0.00060062,-2.42786796,-0.17190722,-0.37408578,0.29225182,0.10264425,-0.36655056,0.01353432,-0.00035937,-17.01924088,-0.13377915,-0.10435507,0.59879067,-9.51644575,6.98090494
1.36666667,0.00089917,-2.46409424,-0.17084392,-0.37029189,0.29162848,0.11283220,0.00402731,-0.00058345,0.01067268,22.23467208,-0.84701035,0.66190408,0.51018250,-9.93287404,6.98079533
1.38333333,0.00129529,-2.50001671,-0.17253321,-0.24081638,0.28333651,0.12734828,0.13566270,-0.00860214,0.01524710,7.89812359,-0.48112181,0.27446544,0.43618895,-8.84916965,6.98049276
1.40000000,0.00184213,-2.53542711,-0.17684807,0.12001371,0.26198610,0.14821138,0.37796436,-0.02233508,0.02187114,14.53809884,-0.82398223,0.39744645,0.36245649,-8.00453498,6.98009823
1.41666667,0.00195401,-2.57494451,-0.17670618,0.02389422,0.26977469,0.15673043,-0.10061470,0.00814498,0.00893126,-28.71474466,1.82869593,-0.77633189,0.34830188,-6.18644577,6.97956229
1.43333333,0.00207904,-2.61659777,-0.17549581,-0.31288107,0.26819652,0.16035829,-0.35265243,-0.00164307,0.00380321,-15.12226376,-0.58728115,-0.30768267,0.27105488,-9.18737027,6.97947882
1.45000000,0.00257893,-2.65265799,-0.18007574,0.10397279,0.23641541,0.17801872,0.43660977,-0.03324740,0.01855446,47.35573178,-1.89626073,0.88507318,0.17429452,-8.45620936,6.97937714
1.46666667,0.00271677,-2.69190267,-0.17740603,0.03007288,0.22176785,0.17880989,-0.07738449,-0.01533984,0.00081056,-30.83965797,1.07425365,-1.06454967,0.15866838,-4.73950426,6.97889786
1.48333333,0.00283815,-2.72767641,-0.17532282,0.21827525,0.20314252,0.17783300,0.19708126,-0.01950215,-0.00106526,16.46794510,-0.24974076,-0.11254921,0.11006470,-5.86790775,6.97879268
1.50000000,0.00302984,-2.76344778,-0.17595523,0.40607733,0.17763185,0.17748208,0.19666465,-0.02671232,-0.00051303,-0.02499670,-0.43263194,0.03313830,0.06616661,-4.94463819,6.97870183
